count,mean,std,min,25%,50%,75%,max
2.0,1210.5,796.909342397239,647.0,928.75,1210.5,1492.25,1774.0
2.0,2886.5,1588.8689373261723,1763.0,2324.75,2886.5,3448.25,4010.0
3.0,6172.666666666667,2010.0075455911435,4333.0,5100.0,5867.0,7092.5,8318.0
3.0,3913.0,2358.1204379759743,1691.0,2676.0,3661.0,5024.0,6387.0
3.0,2107.0,101.59232254457027,2003.0,2057.5,2112.0,2159.0,2206.0
3.0,2530.6666666666665,1043.6955175401172,1330.0,2185.5,3041.0,3131.0,3221.0
2.0,2495.5,1287.641448540703,1585.0,2040.25,2495.5,2950.75,3406.0
3.0,8700.666666666666,7891.431893727104,3552.0,4158.0,4764.0,11275.0,17786.0
2.0,5314.5,6.363961030678928,5310.0,5312.25,5314.5,5316.75,5319.0
2.0,6975.5,1718.976585064497,5760.0,6367.75,6975.5,7583.25,8191.0
2.0,4649.0,568.5138520739843,4247.0,4448.0,4649.0,4850.0,5051.0
1.0,6015.0,,6015.0,6015.0,6015.0,6015.0,6015.0
1.0,3358.0,,3358.0,3358.0,3358.0,3358.0,3358.0
1.0,1954.0,,1954.0,1954.0,1954.0,1954.0,1954.0
